steer_dir, step_count, heading, gyro_x, gyro_y, accel_x, accel_y
0,956,0.37,0.56,-0.12,-0.35,0.22
0,959,0.37,0.56,-0.12,-0.35,0.22
0,961,0.37,0.0,-0.31,-0.19,0.13
0,963,0.37,0.0,-0.31,-0.19,0.13
0,965,0.37,0.06,0.06,-0.09,-0.35
0,966,0.44,0.06,0.06,-0.09,-0.35
0,969,0.44,1.5,0.19,-0.12,0.16
0,971,0.44,1.5,0.19,-0.01,0.83
0,974,0.44,2.81,0.44,-0.01,0.83
0,976,0.44,1.31,0.75,0.0,0.32
0,979,0.44,1.31,0.75,-0.11,-0.44
0,981,0.44,-0.88,0.63,-0.11,-0.44
0,983,0.44,-0.88,0.63,0.23,-1.15
0,985,0.44,-2.25,0.44,0.23,-1.15
0,987,0.44,-1.5,0.44,0.12,-0.63
0,990,0.44,-1.5,0.44,0.12,-0.63
0,992,0.44,-0.63,0.94,-0.3,-0.17
0,994,0.44,-0.63,0.94,-0.42,-0.5
0,997,0.44,-1.12,0.75,-0.42,-0.5
0,999,0.44,-1.25,0.06,-0.22,-0.02
0,1001,0.37,-1.25,0.06,-0.22,-0.02
0,1003,0.37,-0.75,-1.12,-0.16,0.02
0,1005,0.37,-0.75,-1.12,-0.16,0.02
0,1008,0.37,-0.19,-0.94,-0.1,0.45
0,1010,0.37,0.06,-0.25,-0.73,0.0
0,1013,0.37,0.06,-0.25,-0.73,0.0
0,1016,0.31,-1.31,0.25,-0.64,-0.24
0,1018,0.37,-1.19,-0.88,-0.13,-0.82
0,1020,0.37,-1.19,-0.88,-0.13,-0.82
0,1022,0.37,-1.19,-0.88,0.08,-0.83
0,1023,0.37,-0.19,-1.0,0.08,-0.83
0,1025,0.37,0.75,0.12,-0.17,-0.57
0,1028,0.37,0.75,0.12,-0.17,-0.57
0,1031,0.37,0.0,0.5,-0.36,-1.01
0,1033,0.37,-0.69,-0.31,0.03,-1.29
0,1036,0.37,-0.69,-0.31,0.03,-1.29
0,1038,0.37,0.31,-1.5,0.06,-1.08
0,1040,0.37,0.31,-1.5,0.06,-1.08
0,1042,0.37,2.19,-1.25,0.11,-0.49
0,1044,0.37,2.19,-1.25,0.11,-0.49
0,1046,0.37,2.88,0.31,-0.36,-0.3
0,1048,0.37,1.5,0.88,-0.51,-0.24
0,1051,0.37,1.5,0.88,-0.51,-0.24
0,1054,0.44,0.56,-0.44,-0.33,0.34
0,1056,0.44,1.44,-1.19,-0.15,1.15
0,1058,0.44,1.44,-1.19,-0.15,1.15
0,1060,0.44,1.44,-1.19,-0.54,1.08
0,1062,0.44,1.31,0.31,-0.54,1.08
0,1064,0.44,-0.56,2.0,-0.97,0.92
0,1067,0.44,-0.56,2.0,-0.97,0.92
0,1070,0.44,-2.38,1.69,-0.72,0.46
0,1072,0.44,-1.19,0.0,-0.22,0.02
0,1075,0.44,-1.19,0.0,-0.22,0.02
0,1077,0.44,-0.19,-0.5,0.36,-0.06
0,1079,0.44,-0.19,-0.5,-0.19,-0.2
0,1082,0.44,-0.37,1.0,-0.19,-0.2
0,1084,0.44,-1.5,1.75,-0.55,-0.73
0,1087,0.37,-1.5,1.75,0.04,-0.33
0,1090,0.37,-1.19,-0.37,0.04,-0.33
0,1092,0.37,-0.37,-2.5,0.41,-0.56
0,1095,0.31,-0.37,-2.5,0.43,-0.85
0,1097,0.31,-1.88,-1.37,0.43,-0.85
0,1099,0.31,-1.88,-1.37,-0.81,-1.02
0,1100,0.31,-2.88,0.25,-0.81,-1.02
0,1103,0.37,-1.44,0.56,-0.41,-0.7
0,1105,0.37,-1.44,0.56,-0.41,-0.7
0,1108,0.37,1.63,-0.37,-0.17,-0.14
0,1110,0.37,1.63,-0.37,-0.57,0.62
0,1113,0.37,2.25,-0.31,-0.57,0.62
0,1115,0.37,0.25,-0.44,-0.53,0.33
0,1117,0.37,0.25,-0.44,-0.53,0.33
0,1119,0.31,-1.25,-0.88,-0.68,0.04
0,1121,0.31,-1.25,-0.88,-0.68,0.04
0,1124,0.31,0.19,-1.44,0.06,0.22
0,1126,0.31,1.81,-1.0,-0.36,0.58
0,1129,0.31,1.81,-1.0,-0.36,0.58
0,1131,0.31,1.63,0.12,-0.16,-0.56
0,1133,0.37,1.63,0.12,-0.19,-0.56
0,1135,0.37,0.37,0.5,-0.19,-0.56
